Timestamp;Air Temperature Reference Sensor (°C);Air Temperature EVE (SHT40) Sensor (°C);"RH Reference Sensor (%; 2m)";RH EVE (SHT40) Sensor (%);Air Pressure EVE (BMP280) Sensor (hPa);Global Radiation Reference Sensor (W m-2);PAR EVE Sensor (micro mol m-2 s-1)
03.09.2025 09:22;19,66;19,16;97,6;74,86;1006,73;545;2,4854
03.09.2025 09:52;20,45;19,49;87,7;72,89;1006,9;600;10,86311261
03.09.2025 10:22;21,41;21,01;77,9;71,08;1006,9;643;10,86311261
03.09.2025 10:32;21,68;21,97;72,1;69,89;1006,99;654;2,4854
03.09.2025 11:02;22,19;29,95;70,7;45,79;1007,38;689;1527,229095
03.09.2025 11:32;22,41;32,58;63,6;38,47;1007,42;708;1468,585107
03.09.2025 12:02;22,82;33,46;61,7;39,75;1007,28;724;1543,98452
03.09.2025 12:32;23,17;34,67;60,9;36,79;1007,03;709;1581,684227
03.09.2025 13:03;23,76;35,32;60,5;35,87;1006,84;752;1577,495371
03.09.2025 13:33;24,3;33,19;57,5;38,41;1006,82;711;1577,495371
03.09.2025 14:03;23,2;29,97;58,2;42,21;1006,65;290;103,0179513
03.09.2025 14:33;23,91;27,98;59,3;46,61;1006,49;506;40,18510674
03.09.2025 15:04;24,35;26,63;59,2;49,22;1006,39;543;111,3956639
03.09.2025 15:34;23,73;25,93;57,4;49,9;1006,2;161;19,24082522
03.09.2025 16:04;23,45;25,52;59,3;51,26;1006,04;168;44,37396305
03.09.2025 16:34;24,03;24,78;60;51,05;1006,1;330;31,80739413
03.09.2025 17:05;24,07;25,04;59;53,25;1006;243;19,24082522
03.09.2025 17:35;23,45;24,63;59,6;53,91;1005,81;145;2,4854
03.09.2025 18:05;22,42;24,46;62,9;52,78;1005,66;78;0
03.09.2025 18:36;21,44;23,9;68,2;53,48;1005,72;8;0
03.09.2025 19:06;19,81;23,2;79,9;57,57;1005,8;0;0
03.09.2025 19:36;18,6;22,16;93,5;60,83;1005,88;0;0
03.09.2025 20:07;18,01;21,08;98,9;64,45;1005,94;0;0
03.09.2025 20:37;16,84;20,06;99,7;69,45;1006,05;0;0
03.09.2025 21:08;16,75;19,52;99,7;70,43;1006,29;0;0
03.09.2025 21:38;16,23;18,92;99,7;72,95;1006,16;0;0
03.09.2025 22:08;17,02;18,9;99,7;73,47;1006,13;0;0
03.09.2025 22:39;16,37;18,17;99,7;76,7;1006,15;0;0
03.09.2025 23:09;16,16;17,99;99,7;77,5;1006,31;0;0
03.09.2025 23:39;16,04;17,68;99,7;79,04;1006,34;0;0
04.09.2025 00:10;16,86;17,69;99,7;78,91;1006,36;0;0
04.09.2025 00:40;16,61;17,81;99,7;77,77;1006,39;0;0
04.09.2025 01:10;15,8;18,02;99,7;77,56;1006,36;0;0
04.09.2025 01:41;15,43;17,77;99,7;78,02;1006,52;0;0
04.09.2025 02:11;15,03;17,36;99,7;79,16;1006,48;0;0
04.09.2025 02:42;14,66;17,04;99,7;79,99;1006,53;0;0
04.09.2025 03:12;14,46;16,79;99,7;81,19;1006,56;0;0
04.09.2025 03:42;14,35;16,45;99,7;81,56;1006,45;0;0
04.09.2025 04:13;14,19;16,15;99,7;82,56;1006,46;0;0
04.09.2025 04:43;14,23;15,93;99,7;83,24;1006,47;0;0
04.09.2025 05:13;14,34;15,85;99,7;83,25;1006,46;1;0
04.09.2025 05:44;14,28;15,81;99,7;83,44;1006,61;22;0
04.09.2025 06:14;15,38;15,78;99,7;83,5;1006,71;132;0
04.09.2025 06:44;16,95;15,76;99,7;83,95;1006,92;132;0
04.09.2025 07:15;17,84;16,88;99,7;81,13;1007,03;136;31,80739413
04.09.2025 07:45;18,45;18,13;99,2;78,12;1007,17;224;6,674256305
04.09.2025 08:16;19,72;18,93;96,8;75,92;1007,23;370;2,4854
04.09.2025 08:46;21,59;19,83;84,6;74,55;1007,56;443;65,31824457
04.09.2025 09:16;22,6;22,29;78,3;66,74;1007,68;506;262,1944909
04.09.2025 09:47;23,25;27,18;76;53,18;1007,83;566;1083,210327
04.09.2025 10:17;23,86;30,59;72,1;45,38;1007,94;618;1263,331148
04.09.2025 10:47;24,73;34,35;68,6;40,82;1008,02;636;1359,674843
04.09.2025 11:17;25,28;35,85;67,5;37,25;1008,16;623;1183,742878
04.09.2025 11:48;25,37;36,46;66,9;37,28;1008,21;583;1523,040239
04.09.2025 12:18;25,91;36,47;64,3;38,08;1008,08;625;1221,442585
04.09.2025 12:48;25,87;33,41;63,4;42,47;1008,25;484;471,6373062
04.09.2025 13:18;25,85;36,14;63,7;37,17;1008,15;461;1518,851382
04.09.2025 13:49;26,42;32;60,9;43,9;1008,33;520;831,8789484
04.09.2025 14:19;26,83;31,09;60,5;46,42;1008,14;551;178,4173648
04.09.2025 14:49;27;30,11;59,9;46,75;1007,96;446;103,0179513
04.09.2025 15:19;26,32;30,18;61,2;47,3;1007,77;243;123,9622328
04.09.2025 15:50;26,15;29,09;63;51,6;1007,51;175;65,31824457
04.09.2025 16:20;26,14;28,7;64,8;52,84;1007,54;195;48,56281935
04.09.2025 16:50;26,33;28,31;64,5;52,61;1007,59;220;40,18510674
04.09.2025 17:21;25,81;27,94;67,6;56,28;1007,66;117;44,37396305
04.09.2025 17:51;25,14;27,89;69;55,24;1007,49;46;31,80739413
04.09.2025 18:21;24;27,44;73,3;58,2;1007,56;21;6,674256305
04.09.2025 18:52;21,67;26,32;99,8;58,88;1007,72;0;0
04.09.2025 19:22;20,69;25,08;99,7;63,02;1007,78;0;0
04.09.2025 19:52;19,87;23,74;99,7;70,17;1007,85;0;0
04.09.2025 20:23;19,75;22,87;99,7;72,88;1007,84;0;0
04.09.2025 20:53;18,72;22,13;99,7;76,38;1007,88;0;0
04.09.2025 21:23;18,16;21,32;99,7;79,11;1007,68;0;0
04.09.2025 21:54;17,43;20,55;99,7;81,34;1007,74;0;0
04.09.2025 22:24;17,96;20,11;99,7;82,51;1007,64;0;0
04.09.2025 22:55;17,55;19,85;99,7;84,39;1007,6;0;0
04.09.2025 23:25;17,8;19,86;99,7;84,71;1007,58;0;0
04.09.2025 23:55;17,52;19,93;99,7;83,91;1007,69;0;0
05.09.2025 00:26;17,09;19,71;99,7;84,84;1007,59;0;0
05.09.2025 00:56;16,53;19,14;99,7;86;1007,43;0;0
05.09.2025 01:26;15,94;18,73;99,7;86,33;1007,2;0;0
05.09.2025 01:57;15,96;18,23;99,7;86,4;1007,08;0;0
05.09.2025 02:27;15,21;18,04;99,7;86,57;1006,92;0;0
05.09.2025 02:58;15,3;17,37;99,7;87,38;1006,75;0;0
05.09.2025 03:28;15,11;17,33;99,7;87,5;1006,82;0;0
05.09.2025 03:58;16,78;17,06;99,7;87,58;1006,76;0;0
05.09.2025 04:29;17,93;17,47;99,7;87,71;1006,55;0;0
05.09.2025 04:59;17,94;18;99,7;85,56;1006,98;0;0
05.09.2025 05:29;17,53;18,58;99,7;83,14;1007,26;8;0
05.09.2025 06:00;17,49;18,41;99,7;82,23;1007,2;54;0
05.09.2025 06:30;17,48;18,34;99,7;82,64;1007,46;50;0
05.09.2025 07:01;17,51;18,47;99,7;82,59;1007,75;35;35,99625044
05.09.2025 07:31;17,5;18,76;99,7;82,1;1007,98;60;2,4854
05.09.2025 08:01;17,99;18,93;99,7;81,5;1008,17;183;2,4854
05.09.2025 08:32;18;18,88;99,7;81,45;1008,73;118;19,24082522
05.09.2025 09:02;18,5;19,73;99,7;79,88;1008,99;359;86,2625261
05.09.2025 09:32;17,66;20,02;99,7;77,76;1009,39;93;2,4854
05.09.2025 10:03;18,09;21,17;99,7;73,31;1009,74;284;19,24082522
05.09.2025 10:33;19,06;19,57;99,7;77,52;1010,21;387;6,674256305
05.09.2025 11:04;19,04;20,66;99,5;73,2;1010,42;210;249,627922
05.09.2025 11:34;19,25;22,28;99,7;68,4;1010,5;154;262,1944909
05.09.2025 12:04;19,89;23,41;98,5;66,9;1010,82;164;718,7798282
05.09.2025 12:35;19,57;21,28;99,7;72,23;1011,13;220;77,88481349
05.09.2025 13:05;19,7;21,59;99,3;71,68;1011,45;177;2,4854
05.09.2025 13:35;19,6;21,34;99,5;73,22;1011,61;179;27,61853783
05.09.2025 14:06;17,31;21,16;99,7;73,68;1011,73;68;123,9622328
05.09.2025 14:36;16,37;21,12;99,7;74,29;1011,99;66;15,05196891
05.09.2025 15:06;17,45;19,03;99,7;79,34;1012,53;337;6,674256305
05.09.2025 15:37;18,57;18,66;99,7;80,93;1012,95;318;10,86311261
05.09.2025 16:07;19,76;19,89;92,3;77,77;1013,11;404;119,7733765
05.09.2025 16:37;19,2;21,09;89,7;71,77;1013,13;147;90,4513824
05.09.2025 17:08;18,78;20,71;92,8;69,01;1013,35;141;19,24082522
05.09.2025 17:38;19;20,24;92,2;70,79;1013,43;154;2,4854
05.09.2025 18:09;18,69;20,24;93,4;73,6;1013,46;75;0
05.09.2025 18:39;18,05;19,94;99,4;73,62;1013,55;15;0
05.09.2025 19:09;16,84;19,31;99,7;77,15;1013,79;0;0
05.09.2025 19:40;15,28;18,65;99,7;80,13;1014,19;0;0
05.09.2025 20:10;14,64;17,72;99,7;82,41;1014,42;0;0
05.09.2025 20:40;13,77;16,8;99,7;85,11;1014,72;0;0
05.09.2025 21:11;13,16;16,08;99,7;87,03;1014,8;0;0
05.09.2025 21:41;13,04;15,55;99,6;87,13;1014,94;0;0
05.09.2025 22:12;12,47;14,97;99,6;87,48;1015,39;0;0
05.09.2025 22:42;12,76;14,67;99,6;87,26;1015,48;0;0
05.09.2025 23:12;12,51;14,53;99,6;87,96;1015,62;0;0
05.09.2025 23:43;12,63;14,34;99,6;87,78;1015,87;0;0
06.09.2025 00:13;13,75;14,61;99,6;87,66;1015,98;0;0
06.09.2025 00:44;14,12;14,56;99,7;88,51;1015,93;0;0
06.09.2025 01:14;14,38;15;99,7;88,78;1016,23;0;0
06.09.2025 01:44;14,4;15,35;99,7;88,09;1016,53;0;0
06.09.2025 02:15;14,33;15,37;99,7;87,15;1016,69;0;0
06.09.2025 02:45;14,26;15,54;99,7;86,4;1016,84;0;0
06.09.2025 03:16;14,29;15,42;99,7;87,36;1017,13;0;0
06.09.2025 03:46;14,16;15,47;99,7;86,98;1017,25;0;0
06.09.2025 04:16;14,21;15,23;99,7;87,59;1017,28;0;0
06.09.2025 04:47;14,07;15,39;99,7;86,82;1017,21;0;0
06.09.2025 05:17;13,85;15,39;99,7;86,1;1017,09;0;0
06.09.2025 05:48;13,74;15,29;99,7;86,43;1017,2;4;0
06.09.2025 06:18;13,53;15,17;99,7;86,64;1017,45;9;0
06.09.2025 06:48;13,69;14,8;99,7;87,49;1017,62;21;0
06.09.2025 07:19;14,01;14,81;99,7;88,01;1018,01;75;0
06.09.2025 07:49;14,29;14,98;99,7;87,49;1018,27;108;0
06.09.2025 08:20;15,36;15,29;99,7;86,81;1018,38;209;2,4854
06.09.2025 08:50;16,02;16,05;99,7;84,94;1018,36;219;73,69595718
06.09.2025 09:20;17,04;17,69;99,7;80,84;1018,5;412;111,3956639
06.09.2025 09:51;17,55;19,6;97,9;74,77;1018,74;513;207,7393589
06.09.2025 10:21;17,99;25,58;90,5;58,96;1018,7;305;1342,919418
06.09.2025 10:51;18,55;24,24;84,2;58,67;1018,93;504;861,2009425
06.09.2025 11:22;18,39;24,38;84,4;56,66;1019,24;409;182,6062211
06.09.2025 11:52;18,49;25,85;82,6;52,42;1019,25;376;467,4484499
06.09.2025 12:22;19,33;25,37;79,9;51,76;1019,39;798;211,9282152
