Timestamp;"Air Temperature Reference Sensor (°C; 2m)";Air Temperature EVE (SHT40) Sensor (°C);"RH Reference Sensor (%; 2m)";RH EVE (SHT40) Sensor (%);Air Pressure Reference Sensor (hPa);Air Pressure EVE (BMP280) Sensor (hPa);Solar Radiation Reference Sensor (W m-2);PAR EVE Sensor (micro mol m-2 s-1)
11.11.2025 00:00;4,1;5,958333333;100;95,49583333;1004,5;1010,121667;0;0
11.11.2025 01:00;4,5;5,460714286;100;97,41;1004,3;1009,894286;0;0
11.11.2025 02:00;3,9;5,173846154;100;97,68;1003,9;1009,595385;0;0
11.11.2025 03:00;3,7;4,706428571;100;97,29571429;1003,6;1009,177857;0;0
11.11.2025 04:00;3,3;4,28;100;97,02153846;1003,2;1008,830769;0;0
11.11.2025 05:00;3,6;4,155714286;100;96,08142857;1003,1;1008,574286;0;0
11.11.2025 06:00;4,4;4,927857143;100;94,47571429;1003;1008,520714;0;0
11.11.2025 07:00;4,7;5,381538462;100;93,98846154;1003,4;1008,739231;2;0
11.11.2025 08:00;5,2;5,68;100;94,36727273;1003,8;1009,221818;11;0
11.11.2025 09:00;6,2;6,481428571;100;94,08642857;1004,1;1009,502143;51;29,982675
11.11.2025 10:00;7,3;7,631538462;100;92,85846154;1004,6;1009,914615;94;78,02392692
11.11.2025 11:00;8,1;8,275384615;100;93,21307692;1004,5;1009,999231;66;58,90993769
11.11.2025 12:00;8,6;8,616428571;100;95,93571429;1004,7;1010,070714;49;20,22727
11.11.2025 13:00;9,3;9,404166667;100;94,64;1004,6;1010,169167;66;66,7796825
11.11.2025 14:00;10,3;10,54583333;94;90,80416667;1005;1010,330833;76;166,4913825
11.11.2025 15:00;10,2;10,65692308;93;89,39153846;1005,5;1010,774615;24;15,04508539
11.11.2025 16:00;10,1;10,39307692;93;90,31461538;1006,1;1011,412308;1;0
11.11.2025 17:00;10;10,42;91;88,985;1006,6;1011,7875;0;0
11.11.2025 18:00;9,7;;93;;1007;;0;
11.11.2025 19:00;9,1;;97;;1007,2;;0;
11.11.2025 20:00;9;;97;;1007,3;;0;
11.11.2025 21:00;8,1;;98;;1007,3;;0;
11.11.2025 22:00;6,5;8,393333333;100;89,17333333;1007,4;1012,96;0;0
11.11.2025 23:00;5,4;7,621666667;100;93,82;1007,7;1013,218333;0;0
12.11.2025 00:00;4,9;6,942307692;100;95;1007,6;1013,348462;0;0
12.11.2025 01:00;4,2;6,442857143;100;95,41642857;1007,8;1013,277143;0;0
12.11.2025 02:00;3,8;5,928571429;100;95,81;1008,1;1013,611429;0;0
12.11.2025 03:00;3,8;5,715714286;100;95,57142857;1007,4;1013,207143;0;0
12.11.2025 04:00;4;5,594285714;100;95,55785714;1007,4;1012,957143;0;0
12.11.2025 05:00;4,3;5,347142857;100;95,99714286;1007,3;1012,9;0;0
12.11.2025 06:00;3,9;5,235;100;96,0675;1007,3;1013,078333;0;0
12.11.2025 07:00;4,3;5,204285714;100;95,26571429;1007,5;1013,123571;5;0
12.11.2025 08:00;5;5,585714286;100;94,11714286;1007,4;1013,056429;38;21,41098
12.11.2025 09:00;6,5;7,149285714;100;89,81142857;1007,4;1012,982857;86;113,6158635
12.11.2025 10:00;8,3;9,235;100;83,16357143;1007;1012,685714;100;385,43805
12.11.2025 11:00;10,7;11,66461538;81;75,69153846;1006,3;1012,3;139;674,5692846
12.11.2025 12:00;11,3;12,12142857;78;74,71857143;1006,1;1011,693571;140;361,5891072
12.11.2025 13:00;11,5;12,36615385;77;74,22769231;1005,5;1011,407692;109;315,1661154
12.11.2025 14:00;11,8;12,64615385;76;73,33384615;1005,1;1010,752308;73;374,4637308
12.11.2025 15:00;11,1;12,13;81;75,34166667;1004,7;1010,568333;32;111,3093966
12.11.2025 16:00;9,1;10,55;90;82,28;1004,6;1010,211667;2;0
12.11.2025 17:00;8,6;10,04454545;96;84,96545455;1004,2;1009,89;0;0
12.11.2025 18:00;9;9,71;97;86,606;1004;1009,586;0;0
